dataSetIndex,algo_index,query_nums,single_time,accumulated_time
0,7,49,33,2961
0,7,50,33,2994
0,7,51,47,3041
0,7,52,47,3088
0,7,53,32,3120
0,7,54,47,3167
0,7,55,48,3215
0,7,56,47,3262
0,7,57,48,3310
0,7,58,35,3345
0,7,59,35,3380
0,7,60,33,3413
0,7,61,38,3451
0,7,62,34,3485
0,7,63,34,3519
0,7,64,31,3550
0,7,65,39,3589
0,7,66,32,3621
0,7,67,30,3651
0,7,68,48,3699
0,7,69,43,3742
0,7,70,35,3777
0,7,71,33,3810
0,7,72,33,3843
0,7,73,34,3877
0,7,74,35,3912
0,7,75,33,3945
0,7,76,44,3989
0,7,77,34,4023
0,7,78,38,4061
0,7,79,32,4093
0,7,80,33,4126
0,7,81,33,4159
0,7,82,35,4194
0,7,83,34,4228
0,7,84,34,4262
0,7,85,34,4296
0,7,86,34,4330
0,7,87,45,4375
0,7,88,47,4422
0,7,89,45,4467
0,7,90,37,4504
0,7,91,45,4549
0,7,92,34,4583
0,7,93,34,4617
0,7,94,31,4648
0,7,95,48,4696
0,7,96,37,4733
0,7,97,39,4772
0,7,98,32,4804
0,7,99,34,4838
0,7,100,33,4871
0,7,101,45,4916
0,7,102,30,4946
0,7,103,36,4982
0,7,104,29,5011
0,7,105,29,5040
0,7,106,30,5070
0,7,107,30,5100
0,7,108,29,5129
0,7,109,30,5159
0,7,110,44,5203
0,7,111,32,5235
0,7,112,32,5267
0,7,113,45,5312
0,7,114,34,5346
0,7,115,50,5396
0,7,116,49,5445
0,7,117,48,5493
0,7,118,47,5540
0,7,119,30,5570
0,7,120,31,5601
0,7,121,34,5635
0,7,122,29,5664
0,7,123,33,5697
0,7,124,44,5741
0,7,125,30,5771
0,7,126,35,5806
0,7,127,31,5837
0,7,128,37,5874
0,7,129,49,5923
0,7,130,29,5952
0,7,131,33,5985
0,7,132,33,6018
0,7,133,32,6050
0,7,134,33,6083
0,7,135,43,6126
0,7,136,44,6170
0,7,137,45,6215
0,7,138,43,6258
0,7,139,44,6302
0,7,140,44,6346
0,7,141,43,6389
0,7,142,47,6436
0,7,143,29,6465
0,7,144,30,6495
0,7,145,45,6540
0,7,146,31,6571
0,7,147,29,6600
0,7,148,43,6643
0,7,149,44,6687
0,7,150,31,6718
0,7,151,43,6761
0,7,152,30,6791
0,7,153,44,6835
0,7,154,43,6878
0,7,155,32,6910
0,7,156,33,6943
